Date,Flow,405_Martin_Luther_King,410_Lawndale_Street ,420_South_Main_Street ,430_Stella_Link_Road ,440_Rice_Avenue,460_Gessner_Road,465_Beltway_8,470_Belle_Park_Drive,475_Bellaire_Boulevard,485_SH_6,Flow CMS - 08075110
10/15/2007 22:30,121.195904,0,0,0,0,0,0,0,0,0,1.016,88.631584
10/15/2007 22:45,159.423584,0,0,0,0,0,0,0,0,0,0,99.958304
10/15/2007 23:00,193.403744,0,0,0,0,0,0,0,0,1.016,0,113.550368
10/15/2007 23:15,209.54432,0,0,0,0,0,0,0,0,0,0,129.690944
10/15/2007 23:30,214.075008,0,0,0,0,0,0,0,0,0,0,142.150336
10/15/2007 23:45,210.393824,0,0,0,0,1.016,0,0,0,0,0,148.6632
10/16/2007 0:00,201.615616,0,0,0,0,0,0,0,0,0,0,155.459232
10/16/2007 0:15,190.572064,0,0,0,0,0,0,0,0,0,0,160.839424
10/16/2007 0:30,178.679008,0,0,0,0,0,0,0,0,0,0,161.972096
10/16/2007 0:45,167.06912,0,0,0,0,0,0,1.016,0,0,0,159.98992
10/16/2007 1:00,155.7424,0,0,0,0,0,0,0,0,0,0,155.459232
10/16/2007 1:15,144.982016,0,0,0,0,0,0,0,0,0,0,150.362208
10/16/2007 1:30,135.071136,0,0,0,0,0,0,0,0,0,0,137.619648
10/16/2007 1:45,124.877088,0,0,0,0,0,0,0,0,0,0,139.601824
10/16/2007 2:00,115.815712,0,0,0,0,0,0,0,0,0,0,131.389952
10/16/2007 2:15,107.320672,0,0,0,0,0,0,0,0,0,0,128.275104
10/16/2007 2:30,99.675136,0,0,0,0,0,0,0,0,0,0,123.461248
10/16/2007 2:45,92.595936,0,0,0,0,0,0,0,0,0,0,118.93056
10/16/2007 3:00,86.649408,0,0,0,0,0,0,0,0,0,0,113.833536
10/16/2007 3:15,80.70288,0,0,0,0,0,0,0,0,0,0,109.869184
10/16/2007 3:30,75.889024,0,0,0,0,0,0,0,0,0,0,105.055328
10/16/2007 3:45,71.075168,0,0,0,0,0,0,0,0,0,0,101.657312
10/16/2007 4:00,66.827648,0,0,0,0,0,0,0,0,0,0,97.69296
10/16/2007 4:15,62.863296,0,0,0,0,0,0,0,0,0,0,94.86128
10/16/2007 4:30,59.182112,0,0,0,0,0,0,0,0,0,0,89.481088
10/16/2007 4:45,56.067264,0,0,0,0,0,0,0,0,0,0,88.631584
11/18/2007 2:00,79.570208,0,0,1.016,3.048,2.032,0,1.016,3.048,0,5.08,94.578112
11/18/2007 2:15,105.904832,0,0,2.032,0,0,1.016,3.048,4.064,4.064,3.048,114.399872
11/18/2007 2:30,136.770144,0,0,2.032,5.08,3.048,3.048,3.048,2.032,3.048,1.016,128.558272
11/18/2007 2:45,161.40576,0,0,0,2.032,3.048,2.032,2.032,2.032,2.032,1.016,138.469152
11/18/2007 3:00,184.908704,0,0,4.064,3.048,3.048,0,0,0,0,0,144.982016
11/18/2007 3:15,205.2968,0,0,1.016,0,1.016,0,0,0,1.016,0,152.344384
11/18/2007 3:30,220.587872,0,0,0,1.016,0,2.032,0,0,0,1.016,162.255264
11/18/2007 3:45,228.516576,0,0,0,1.016,1.016,1.016,1.016,2.032,1.016,3.048,174.997824
11/18/2007 4:00,229.082912,0,0,1.016,1.016,1.016,1.016,1.016,1.016,1.016,0,184.342368
11/18/2007 4:15,226.5344,0,0,2.032,2.032,2.032,0,0,0,0,2.032,191.704736
11/18/2007 4:30,222.853216,0,0,0,0,1.016,0,1.016,1.016,1.016,1.016,195.669088
11/18/2007 4:45,223.70272,0,0,0,1.016,0,1.016,0,1.016,1.016,1.016,197.084928
11/18/2007 5:00,219.4552,0,0,2.032,2.032,2.032,3.048,2.032,1.016,1.016,1.016,199.067104
11/18/2007 5:15,212.659168,0,0,1.016,2.032,3.048,1.016,1.016,1.016,1.016,0,202.181952
11/18/2007 5:30,206.71264,0,1.016,2.032,1.016,1.016,1.016,0,0,0,2.032,198.500768
11/18/2007 5:45,204.730464,0,0,1.016,1.016,2.032,1.016,3.048,1.016,2.032,2.032,196.518592
11/18/2007 6:00,203.314624,0,0,1.016,2.032,1.016,1.016,2.032,4.064,2.032,4.064,197.084928
11/18/2007 6:15,199.63344,0,2.032,0,1.016,1.016,2.032,0,0,1.016,0,195.102752
11/18/2007 6:30,197.651264,0,0,2.032,0,0,0,2.032,2.032,1.016,1.016,193.403744
11/18/2007 6:45,196.235424,0,0,0,1.016,1.016,1.016,1.016,1.016,1.016,2.032,191.421568
11/18/2007 7:00,194.536416,0,0,2.032,1.016,1.016,1.016,1.016,1.016,1.016,0,189.156224
11/18/2007 7:15,193.120576,0,0,0,1.016,1.016,1.016,0,0,1.016,1.016,186.041376
11/18/2007 7:30,191.704736,0,0,1.016,1.016,1.016,1.016,1.016,1.016,0,1.016,183.492864
11/18/2007 7:45,190.005728,0,0,1.016,1.016,1.016,1.016,1.016,1.016,1.016,0,180.944352
11/18/2007 8:00,188.30672,0,0,1.016,1.016,1.016,0,1.016,0,0,0,178.112672
11/18/2007 8:15,188.30672,0,0,1.016,0,0,1.016,1.016,0,1.016,1.016,177.546336
11/18/2007 8:30,187.174048,0,0,0,1.016,0,4.064,0,1.016,0,1.016,175.56416
